id,parent_id,name,forstock,forsale,useprice,any_ownorg,active,ordr,need_org,need_relwrh,need_predoc,predoctypeid,chlddoctypeid,need_respstaffid,signrightid,not_gt_preqty,ownorg_label,org_label,wrh_label,relwrh_label,box_label,relbox_label,lst_editable,need_details,created_at,created_by,updated_at,updated_by
1,NULL,"Накладная на прием товара (от поставщика)",1,0,1,0,1,1,NULL,0,0,NULL,NULL,NULL,NULL,0,Получатель,Получатель,"На склад",NULL,"в отделение",NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
2,NULL,"Накладная на возврат товара (поставщику)",-1,0,0,0,0,255,NULL,0,0,NULL,NULL,NULL,NULL,0,Отправитель,Получатель,"Со склада",NULL,Отделение-источник,NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
3,NULL,"Расходная накладная (реализация)",-1,1,1,1,1,3,1,0,0,NULL,NULL,NULL,NULL,0,Владелец,Получатель,"Со склада",NULL,Отделение-источник,NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
4,NULL,"Акт списания на разукомплектовку ",-1,0,0,0,0,255,NULL,0,0,NULL,NULL,NULL,NULL,0,Владелец,Получатель,"Со склада",NULL,Отделение-источник,NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
5,NULL,"Акт списания на производство",-1,0,0,0,0,255,NULL,0,0,NULL,NULL,NULL,NULL,0,Владелец,Получатель,"Со склада",NULL,Отделение-источник,NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
6,NULL,"Акт списания ",-1,0,0,0,1,255,NULL,0,0,NULL,NULL,NULL,NULL,0,Владелец,Получатель,"Со склада",NULL,Отделение-источник,NULL,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
7,NULL,"перемещение товара (расход)",-1,0,0,0,0,5,NULL,1,0,NULL,NULL,NULL,NULL,0,Владелец,Получатель,Склад-отправитель,Склад-получатель,Отделение-источник,Отделение-приемник,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
8,NULL,"перемещение товара (приход)",1,0,0,0,0,6,NULL,0,1,7,NULL,NULL,NULL,1,Владелец,Получатель,Склад-получатель,Склад-отправитель,Отделение-приемник,Отделение-источник,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
9,NULL,"Акт разногласий (при передаче между складами)",0,0,0,0,0,7,NULL,0,1,8,NULL,1,136,0,Владелец,Получатель,Склад-получатель,Склад-отправитель,"в отделение",Отделение-источник,NULL,NULL,"2022-11-07 10:13:59",1,"2022-11-07 10:13:59",1
10,NULL,"Накладная на прием товара (от производства)",1,0,0,0,1,2,0,0,0,NULL,NULL,0,NULL,0,Изготовитель,Получатель,"На склад",NULL,"в отделение",NULL,NULL,NULL,"2023-05-21 09:37:30",1,"2023-05-21 09:37:30",1
