id,parent_by,name,descript,decimal_dgts,k2prnt_unit,active,created_at,created_by,updated_at,updated_by
1,NULL,шт,штука,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
2,NULL,мин,минута,0,NULL,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
3,NULL,лист,"лист (бумаги)",0,NULL,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
4,3,пачка,"пачка (бумаги)",3,500.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
5,4,коробка,"коробка (бумаги)",3,NULL,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
6,NULL,м,метр,3,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
7,NULL,м2,"квадрат. метр",3,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
8,NULL,м3,кубометр,3,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
9,NULL,кг,килограмм,3,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
10,9,т,тонна,3,1000.0000,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",12
11,8,л,литр,3,0.0010,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
13,NULL,м.п.,"метр погонный",3,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
100,NULL,комплект,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
101,NULL,упаковка,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
102,NULL,пачка,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
110,NULL,баллон,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
111,NULL,ящик,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
112,NULL,ведро,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
113,NULL,тюбик,тюбик/туба,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
114,NULL,мешок,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
115,NULL,рулон,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
116,NULL,пара,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
117,NULL,катушка,NULL,0,NULL,1,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
201,1,"10 шт",NULL,0,10.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
202,1,"100 шт",NULL,0,100.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
203,1,"1000 шт",NULL,3,1000.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
204,6,"10 м",NULL,3,10.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
205,6,"100 м",NULL,3,100.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
206,6,"1000 м",NULL,3,1000.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
207,7,"10 м2",NULL,3,10.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
208,7,"100 м2",NULL,3,100.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
209,7,"1000 м2",NULL,3,1000.0000,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
301,NULL,чел.-ч,человеко-часов,3,NULL,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
302,NULL,маш.час,машино-часов,3,NULL,0,"2020-11-24 00:38:06",1,"2020-11-24 00:38:06",1
